Primer Autor	Año Publicación	Tipo Producto	Journal	
V. Yarovenko	2022	CONF	2022 4th International Conference on Advances in Computer Technology, Information Science and Communications (CTISC)	
R. Saranya	2023	CONF	2023 6th International Conference on Contemporary Computing and Informatics (IC3I)	
Liu Xubo	2011	CONF	2011 International Conference on Electric Information and Control Engineering	
J. Yang	2012	CONF	2012 7th International Conference on Computer Science & Education (ICCSE)	
S. Xiaosu	2024	CONF	2024 IEEE 3rd International Conference on Electrical Engineering, Big Data and Algorithms (EEBDA)	
C. E. Vergara	2012	CONF	2012 Frontiers in Education Conference Proceedings	
K. A. Sorudeykin	2011	CONF	2011 9th East-West Design & Test Symposium (EWDTS)	
H. Ito	2020	CONF	2020 15th Conference on Computer Science and Information Systems (FedCSIS)	
S. Datta	2019	CONF	2019 International Conference on Computational Science and Computational Intelligence (CSCI)	
S. Aoki	2020	CONF	2020 International Conference on Computational Science and Computational Intelligence (CSCI)	
J. Togelius	2016	CONF	2016 IEEE Conference on Computational Intelligence and Games (CIG)	
A. Horzyk	2016	CONF	2016 IEEE Symposium Series on Computational Intelligence (SSCI)	
S. S. Priya	2023	CONF	2023 2nd International Conference on Automation, Computing and Renewable Systems (ICACRS)	
T. Hirashima	2017	CONF	2017 3rd International Conference on Science in Information Technology (ICSITech)	
K. Kemavuthanon	2024	CONF	2024 Joint International Conference on Digital Arts, Media and Technology with ECTI Northern Section Conference on Electrical, Electronics, Computer and Telecommunications Engineering (ECTI DAMT & NCON)	
J. Nasir	2020	CONF	2020 29th IEEE International Conference on Robot and Human Interactive Communication (RO-MAN)	
S. Trilles	2022	JOUR	IEEE Revista Iberoamericana de Tecnologias del Aprendizaje	
A. Zeevaarders	2021	CONF	2021 IEEE Global Engineering Education Conference (EDUCON)	
M. M. Rahman	2018	CONF	2018 IEEE Frontiers in Education Conference (FIE)	
C. Boya-Lara	2023	CONF	2023 IEEE World Engineering Education Conference (EDUNINE)	
A. Arslanyilmaz	2023	CONF	2023 IEEE Frontiers in Education Conference (FIE)	
X. Chai	2024	JOUR	Tsinghua Science and Technology	
A. Casali	2018	CONF	2018 XIII Latin American Conference on Learning Technologies (LACLO)	
A. Samuel	2022	CONF	2022 13th International Conference on Computing Communication and Networking Technologies (ICCCNT)	
B. J. Wiltgen	2019	JOUR	IBM Journal of Research and Development	
S. Gross	2019	CONF	2019 IEEE Global Engineering Education Conference (EDUCON)	
K. Murakata	2011	CONF	2011 IEEE International Conference on Systems, Man, and Cybernetics	
J. Végh	2020	CONF	2020 International Conference on Computational Science and Computational Intelligence (CSCI)	
M. Helms	2016	CONF	2016 Research on Equity and Sustained Participation in Engineering, Computing, and Technology (RESPECT)	
